Stations_id,Bezugszeitraum,Datenquelle,Jan.,Feb.,März,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr,
         1,1981-2010,        46,      56.9,      81.5,       126,     164.1,     197.4,     215.4,     239.7,     219.1,     161.3,     109.6,      60.3,      42.7,    1673.9,
         3,1981-2010,        44,      63.5,        83,     119.3,     163.3,     195.6,     196.6,     208.5,     195.7,     149.3,     120.4,        71,      50.2,    1613.6,
        44,1981-2010,        44,      37.3,      70.8,     106.3,     171.7,     215.5,       193,     208.4,     201.7,     133.1,       102,      46.3,      31.4,    1506.7,
        52,1981-2010,        46,      39.5,      64.6,     105.9,     168.7,     215.1,     191.9,     210.2,     197.5,     141.6,     104.4,      47.3,      30.6,    1517.2,
        61,1981-2010,        46,      47.1,      82.4,     122.5,       180,     224.9,     224.2,     242.8,       223,     161.8,     109.7,      46.7,      38.7,    1703.8,
        70,1981-2010,        46,        67,      85.7,     122.3,     159.1,     189.5,     198.9,     224.6,     212.6,     158.4,     109.5,      67.4,      49.5,    1644.5,
        71,1981-2010,        42,        72,        90,       128,       157,       192,       206,       230,       214,       159,       112,        68,        51,      1679,
        72,1981-2010,        46,      63.6,      84.5,     119.5,     153.8,     179.9,     176.8,     206.3,     205.7,     153.7,     104.9,      60.5,      45.4,    1554.8,
        73,1981-2010,        44,      46.2,        73,     107.1,     172.4,       222,     215.4,     239.4,       223,     139.2,      97.3,      45.1,      40.3,    1617.9,
        78,1981-2010,        46,      46.3,      71.7,     107.8,     163.7,     203.6,     189.6,     203.4,       188,     137.4,     104.5,      51.8,      37.5,    1505.3,
        91,1981-2010,        46,      40.7,      69.7,     106.2,     165.1,     195.6,     195.7,     210.5,     197.3,     137.8,      92.7,      39.5,      30.3,      1481,
        93,1981-2010,        46,      38.6,      67.9,     106.8,     165.2,     195.2,     197.3,     212.2,     197.3,       138,      90.9,      37.6,      28.3,    1475.3,
        96,1981-2010,        42,        48,        69,       115,       187,       235,       220,       233,       215,       153,       110,        49,        37,      1671,
        98,1981-2010,        46,      44.1,      73.4,      98.8,     154.1,     183.5,     181.3,     194.5,     180.8,     125.3,      90.1,      39.2,      35.1,    1400.2,
       116,1981-2010,        46,      56.7,        75,     110.8,     169.4,     211.6,       201,     221.2,     208.9,     147.5,       113,      55.4,      44.2,    1614.6,
       125,1981-2010,        42,        80,        96,       131,       165,       196,       199,       227,       211,       155,       123,        77,        61,      1721,
       129,1981-2010,        46,      47.1,      69.1,     116.6,     183.8,     238.3,     215.3,     233.8,     212.3,     150.5,     113.1,      50.7,      35.6,    1666.1,
       131,1981-2010,        42,        62,        79,       114,       170,       215,       203,       222,       210,       150,       119,        60,        50,      1654,
       132,1981-2010,        46,      53.4,      80.2,     110.1,     165.2,     203.3,     193.2,     216.8,     211.1,     153.5,     113.2,      53.5,      43.6,      1597,
       142,1981-2010,        46,        62,      86.7,     125.6,     170.6,       208,       210,       235,     217.4,     158.1,       112,      60.6,      46.7,    1692.8,
       150,1981-2010,        44,      42.8,      74.5,     122.9,     184.3,     217.3,     216.5,     235.2,     222.2,     153.9,      89.5,      48.3,      36.6,    1649.9,
       151,1981-2010,        46,        44,      76.9,     112.8,     169.4,     205.9,     203.1,     225.8,     212.2,     152.5,     107.2,      44.6,      33.6,    1587.9,
       154,1981-2010,        42,        66,        89,       125,       169,       206,       200,       232,       213,       157,       120,        68,        49,      1694,
       161,1981-2010,        42,        39,        69,       104,       156,       181,       188,       202,       186,       132,        90,        41,        29,      1417,
       164,1981-2010,        44,      51.7,      71.9,     123.9,     186.4,     238.1,     218.7,     242.5,     217.3,     157.7,     114.9,      50.9,      39.7,    1713.7,
       167,1981-2010,        42,        48,        68,       119,       188,       246,       225,       246,       217,       156,       114,        52,        38,      1717,
       169,1981-2010,        46,      55.4,      73.3,     102.4,     161.8,     195.5,     186.1,     209.9,     201.1,     139.7,     108.2,      52.4,      47.1,      1533,
       172,1981-2010,        46,      50.3,      73.5,     106.1,     159.8,     200.9,       183,     197.2,     189.1,     137.7,     104.4,      53.6,      40.4,      1496,
       174,1981-2010,        46,      49.6,      81.1,       121,     169.4,     202.5,     214.1,     233.1,     217.2,     159.9,     101.6,      55.8,      38.2,    1643.6,
       175,1981-2010,        46,      49.7,        79,     119.5,     174.9,     212.8,     215.4,     236.5,     221.2,     159.8,     107.8,      51.4,      37.5,    1665.4,
